Source,Target,Weight,Type
Adric,Stotz,1,directed
Adric,Tegan Jovanka,9,directed
Adric,Terileptil,1,directed
Adric,Terileptil android,1,directed
Adric,The Master,4,directed
Adric,The Watcher (Logopolis),1,directed
Adric,Three Who Rule,1,directed
Adric,Urbankan,1,directed
Adric,Vislor Turlough,1,directed
Agatha Christie,Arnold Golightly,1,directed
Agatha Christie,Donna Noble,1,directed
Agatha Christie,Tenth Doctor,1,directed
Aggedor (The Curse of Peladon),Alpha Centauri (The Curse of Peladon),2,directed
Aggedor (The Curse of Peladon),Amazonia,1,directed
Aggedor (The Curse of Peladon),Arcturus (The Curse of Peladon),1,directed
Aggedor (The Curse of Peladon),Azaxyr,1,directed
Aggedor (The Curse of Peladon),Eckersley,1,directed
Aggedor (The Curse of Peladon),Ettis,1,directed
Aggedor (The Curse of Peladon),Grun,1,directed
Aggedor (The Curse of Peladon),Hepesh,1,directed
Aggedor (The Curse of Peladon),Ice Lord,1,directed
Aggedor (The Curse of Peladon),Ice Warrior,2,directed
Aggedor (The Curse of Peladon),Jo Grant,1,directed
Aggedor (The Curse of Peladon),Peladon of Peladon,1,directed
Aggedor (The Curse of Peladon),Sarah Jane Smith,1,directed
Aggedor (The Curse of Peladon),Third Doctor,2,directed
Akhaten,Clara Oswald (The Bells of Saint John),1,directed
Akhaten,Eleventh Doctor,1,directed
Akhaten,Mummy (The Rings of Akhaten),1,directed
Akhaten,Vigil,1,directed
Alastair Lethbridge-Stewart,Eric Stahlman,1,directed
Alastair Lethbridge-Stewart,Greg Sutton,1,directed
Alastair Lethbridge-Stewart,John Benton,1,directed
Alastair Lethbridge-Stewart,Keith Gold,1,directed
Alastair Lethbridge-Stewart,Liz Shaw,1,directed
Alastair Lethbridge-Stewart,Petra Williams,1,directed
Alastair Lethbridge-Stewart,The Brigadier,1,directed
Alastair Lethbridge-Stewart,Third Doctor,1,directed
Alaya,Amy Pond,2,directed
Alaya,Eleventh Doctor,2,directed
Alaya,Restac,1,directed
Alaya,Rory Williams,2,directed
Albert Einstein,Einstein's liquid,1,directed
Albert Einstein,Eleventh Doctor,1,directed
Albert Einstein,Ood (Death is the Only Answer),1,directed
Alistair Gordon Lethbridge-Stewart,Black Guardian,1,directed
Alistair Gordon Lethbridge-Stewart,Borusa,1,directed
Alistair Gordon Lethbridge-Stewart,Broton,1,directed
Alistair Gordon Lethbridge-Stewart,Clara Oswald,1,directed
Alistair Gordon Lethbridge-Stewart,Cyber-Director,1,directed
Alistair Gordon Lethbridge-Stewart,Danny Pink,1,directed
Alistair Gordon Lethbridge-Stewart,Edward Travers,1,directed
Alistair Gordon Lethbridge-Stewart,Fifth Doctor,2,directed
Alistair Gordon Lethbridge-Stewart,First Doctor,1,directed
Alistair Gordon Lethbridge-Stewart,Fourth Doctor,3,directed
Alistair Gordon Lethbridge-Stewart,Great Intelligence,1,directed
Alistair Gordon Lethbridge-Stewart,Harry Sullivan,2,directed
Alistair Gordon Lethbridge-Stewart,Isobel Watkins,1,directed
Alistair Gordon Lethbridge-Stewart,Jack Tracy,1,directed
Alistair Gordon Lethbridge-Stewart,Jamie McCrimmon,2,directed
Alistair Gordon Lethbridge-Stewart,John Benton,2,directed
Alistair Gordon Lethbridge-Stewart,K9 Mark III,1,directed
Alistair Gordon Lethbridge-Stewart,Kate Stewart,1,directed
Alistair Gordon Lethbridge-Stewart,Lord President,1,directed
Alistair Gordon Lethbridge-Stewart,Mawdryn,1,directed
Alistair Gordon Lethbridge-Stewart,Nyssa,1,directed
Alistair Gordon Lethbridge-Stewart,Rassilon,1,directed
Alistair Gordon Lethbridge-Stewart,Romana II,1,directed
Alistair Gordon Lethbridge-Stewart,Sarah Jane Smith,3,directed
Alistair Gordon Lethbridge-Stewart,Scientific Reform Society,1,directed
Alistair Gordon Lethbridge-Stewart,Second Doctor,3,directed
Alistair Gordon Lethbridge-Stewart,Susan Foreman,1,directed
Alistair Gordon Lethbridge-Stewart,Tegan Jovanka,2,directed
Alistair Gordon Lethbridge-Stewart,The Master,2,directed
Alistair Gordon Lethbridge-Stewart,Third Doctor,1,directed
Alistair Gordon Lethbridge-Stewart,Tobias Vaughn,1,directed
Alistair Gordon Lethbridge-Stewart,Twelfth Doctor,1,directed
Alistair Gordon Lethbridge-Stewart,Victoria Waterfield,1,directed
Alistair Gordon Lethbridge-Stewart,Vislor Turlough,2,directed
Alistair Gordon Lethbridge-Stewart,Zoe Heriot,1,directed
Alistair Gordon Lethbridge-Stewart,Zygon Osgood,1,directed
Allison Williams,Ace,1,directed
Allison Williams,Black Dalek Leader,1,directed
Allison Williams,Davros,1,directed
Allison Williams,Ian Gilmore,1,directed
Allison Williams,Rachel Jensen,1,directed
Allison Williams,Seventh Doctor,1,directed
Alonso Frame,Astrid Peth,1,directed
Alonso Frame,Copper (Voyage of the Damned),1,directed
Alonso Frame,Donna Noble,1,directed
Alonso Frame,Eleventh Doctor,1,directed
Alonso Frame,Heavenly Host,1,directed
Alonso Frame,Jack Harkness,1,directed
Alonso Frame,Jackie Tyler,1,directed
Alonso Frame,Luke Smith,1,directed
Alonso Frame,Martha Jones,1,directed
Alonso Frame,Max Capricorn,1,directed
Alonso Frame,Mickey Smith,1,directed
Alonso Frame,Ood Sigma,1,directed
Alonso Frame,Rassilon,1,directed
Alonso Frame,Rose Tyler,1,directed
Alonso Frame,Sarah Jane Smith,1,directed
Alonso Frame,Sylvia Noble,1,directed
Alonso Frame,Tenth Doctor,2,directed
Alonso Frame,The Master,1,directed
Alonso Frame,Wilfred Mott,2,directed
Alpha Centauri (The Curse of Peladon),Aggedor (The Curse of Peladon),2,directed
Alpha Centauri (The Curse of Peladon),Amazonia,1,directed
Alpha Centauri (The Curse of Peladon),Arcturus (The Curse of Peladon),1,directed
Alpha Centauri (The Curse of Peladon),Azaxyr,1,directed
Alpha Centauri (The Curse of Peladon),Bill Potts,1,directed
Alpha Centauri (The Curse of Peladon),Eckersley,1,directed
Alpha Centauri (The Curse of Peladon),Ettis,1,directed
Alpha Centauri (The Curse of Peladon),Grun,1,directed
Alpha Centauri (The Curse of Peladon),Hepesh,1,directed
Alpha Centauri (The Curse of Peladon),Ice Lord,1,directed
Alpha Centauri (The Curse of Peladon),Ice Warrior,3,directed
Alpha Centauri (The Curse of Peladon),Jo Grant,1,directed
Alpha Centauri (The Curse of Peladon),Neville Catchlove,1,directed
Alpha Centauri (The Curse of Peladon),Peladon of Peladon,1,directed
Alpha Centauri (The Curse of Peladon),Sarah Jane Smith,1,directed
Alpha Centauri (The Curse of Peladon),The Master,1,directed
Alpha Centauri (The Curse of Peladon),Third Doctor,2,directed
Alpha Centauri (The Curse of Peladon),Twelfth Doctor,1,directed
Amazonia,Aggedor (The Curse of Peladon),1,directed
Amazonia,Alpha Centauri (The Curse of Peladon),1,directed
Amazonia,Arcturus (The Curse of Peladon),1,directed
Amazonia,Grun,1,directed
Amazonia,Hepesh,1,directed
Amazonia,Ice Warrior,1,directed
Amazonia,Jo Grant,1,directed
Amazonia,Peladon of Peladon,1,directed
Amazonia,Third Doctor,1,directed
Amy Pond,79B Aickman Road,1,directed
Amy Pond,Abigail Pettigrew,1,directed
Amy Pond,Adolf Hitler,1,directed
Amy Pond,Alaya,2,directed
Amy Pond,Amy Pond (The Girl Who Waited),1,directed
Amy Pond,Arthur Candy,1,directed
Amy Pond,Barnable,1,directed
Amy Pond,Brian Williams (Dinosaurs on a Spaceship),2,directed
Amy Pond,Canton Everett Delaware III,2,directed
Amy Pond,Captain,2,directed
Amy Pond,Carter (Let's Kill Hitler),2,directed
Amy Pond,Clara Oswald,2,directed
Amy Pond,Craig Owens,2,directed
Amy Pond,Cyberman (Mondas),1,directed
Amy Pond,Cyril Arwell,1,directed
Amy Pond,Dalek,1,directed
Amy Pond,Daleks,1,directed
Amy Pond,Dorium Maldovar,3,directed
Amy Pond,Dream Lord,1,directed
Amy Pond,Edwin Bracewell,1,directed
Amy Pond,Eleventh Doctor,39,directed
Amy Pond,Eleventh Doctor (Ganger),2,directed
Amy Pond,Elizabeth X,1,directed
Amy Pond,Elliot Sardick,1,directed
Amy Pond,Ganger,1,directed
Amy Pond,Handbot,1,directed
Amy Pond,Handles,1,directed
Amy Pond,Harvest ranger,1,directed
Amy Pond,Hawthorne (The Beast Below),1,directed
Amy Pond,Henry Avery,1,directed
Amy Pond,House (The Doctor's Wife),1,directed
Amy Pond,Idris,1,directed
Amy Pond,Jennifer Lucas (Ganger),1,directed
Amy Pond,John Riddell,1,directed
Amy Pond,Julius Grayle,1,directed
Amy Pond,Kahler-Jex,1,directed
Amy Pond,Kahler-Tek,1,directed
Amy Pond,Kate Stewart,1,directed
Amy Pond,Kazran Sardick,1,directed
Amy Pond,Kovarian,1,directed
Amy Pond,Krafayis (Vincent and the Doctor),1,directed
Amy Pond,Lily Arwell,1,directed
Amy Pond,Liz 10,1,directed
Amy Pond,Madge Arwell,1,directed
Amy Pond,Minotaur (The God Complex),1,directed
Amy Pond,Miranda Cleaves,1,directed
Amy Pond,Nefertiti,1,directed
Amy Pond,Paternoster Gang,1,directed
Amy Pond,Peg doll (Night Terrors),1,directed
Amy Pond,Prisoner Zero,1,directed
Amy Pond,Restac,1,directed
Amy Pond,Richard Nixon,2,directed
Amy Pond,River Song,11,directed
Amy Pond,Rory Williams,28,directed
Amy Pond,Rory Williams (Auton),1,directed
Amy Pond,Saturnyn,1,directed
Amy Pond,Shakri,1,directed
Amy Pond,Silent,3,directed
Amy Pond,Solomon (Dinosaurs on a Spaceship),1,directed
Amy Pond,Sophie (The Lodger),2,directed
Amy Pond,Supreme Dalek (Victory of the Daleks),1,directed
Amy Pond,Tasha Lem,1,directed
Amy Pond,Teselecta,1,directed
Amy Pond,The Alliance (The Pandorica Opens),1,directed
Amy Pond,The Doctor's TARDIS,1,directed
Amy Pond,Time Field,1,directed
Amy Pond,Twelfth Doctor,1,directed
Amy Pond,Vincent van Gogh,2,directed
Amy Pond,Weeping Angel,3,directed
Amy Pond,Weeping Angel (Good as Gold),1,directed
Amy Pond,Winston Churchill,3,directed
Amy Pond (The Girl Who Waited),Amy Pond,1,directed
Amy Pond (The Girl Who Waited),Eleventh Doctor,1,directed
Amy Pond (The Girl Who Waited),Handbot,1,directed
Amy Pond (The Girl Who Waited),Rory Williams,1,directed
Ancelyn,Ace,1,directed
Ancelyn,Morgaine,1,directed
Ancelyn,Seventh Doctor,1,directed
Ancelyn,The Brigadier,1,directed
Ancelyn,The Destroyer,1,directed
Ancelyn,Winifred Bambera,1,directed
Ander Poul,Fourth Doctor,1,directed
Ander Poul,Kaldor android,1,directed
Ander Poul,Kiy Uvanov,1,directed
Ander Poul,Leela,1,directed
Ander Poul,Lish Toos,1,directed
Ander Poul,Taren Capel,1,directed
Angelo (Tooth and Claw),Rose Tyler,1,directed
Angelo (Tooth and Claw),Tenth Doctor,1,directed
Angelo (Tooth and Claw),The Host,1,directed
Angelo (Tooth and Claw),Victoria,1,directed
Angie Maitland,Artie Maitland,2,directed
Angie Maitland,Clara Oswald,2,directed
Angie Maitland,Cyberman,1,directed
Angie Maitland,Eleventh Doctor,2,directed
Angie Maitland,Great Intelligence,1,directed
Angie Maitland,Mr Clever,1,directed
Angie Maitland,Rosemary Kizlet,1,directed
Animus,Barbara Wright,1,directed
Animus,First Doctor,1,directed
Animus,Ian Chesterton,1,directed
Animus,Vicki Pallister,1,directed
Ann Talbot,Adric,1,directed
Ann Talbot,Fifth Doctor,1,directed
Ann Talbot,Madge Cranleigh,1,directed
Ann Talbot,Nyssa,1,directed
Ann Talbot,Tegan Jovanka,1,directed
Anti-matter creature,Fourth Doctor,1,directed
Anti-matter creature,Salamar,1,directed
Anti-matter creature,Sarah Jane Smith,1,directed
Antimony (Death Comes to Time),Ace (Death Comes to Time),1,directed
Antimony (Death Comes to Time),Minister of Chance,1,directed
Antimony (Death Comes to Time),Seventh Doctor (Death Comes to Time),1,directed
Antimony (Death Comes to Time),Tannis (Death Comes to Time),1,directed
Antimony (Death Comes to Time),The Brigadier (Death Comes to Time),1,directed
Archibald Hamish Lethbridge-Stewart,Bill Potts,1,directed
Archibald Hamish Lethbridge-Stewart,Clara Oswald,1,directed
Archibald Hamish Lethbridge-Stewart,First Doctor,1,directed
Archibald Hamish Lethbridge-Stewart,Nardole,1,directed
Archibald Hamish Lethbridge-Stewart,Rusty (Into the Dalek),1,directed
Archibald Hamish Lethbridge-Stewart,Thirteenth Doctor,1,directed
Archibald Hamish Lethbridge-Stewart,Twelfth Doctor,1,directed
Arcturus (The Curse of Peladon),Aggedor (The Curse of Peladon),1,directed
Arcturus (The Curse of Peladon),Alpha Centauri (The Curse of Peladon),1,directed
Arcturus (The Curse of Peladon),Amazonia,1,directed
Arcturus (The Curse of Peladon),Grun,1,directed
Arcturus (The Curse of Peladon),Hepesh,1,directed
Arcturus (The Curse of Peladon),Ice Warrior,1,directed
Arcturus (The Curse of Peladon),Jo Grant,1,directed
Arcturus (The Curse of Peladon),Peladon of Peladon,1,directed
Arcturus (The Curse of Peladon),Third Doctor,1,directed
Arnold Golightly,Agatha Christie,1,directed
Arnold Golightly,Donna Noble,1,directed
Arnold Golightly,Tenth Doctor,1,directed
Arthur Candy,Adolf Hitler,1,directed
Arthur Candy,Amy Pond,1,directed
Arthur Candy,Captain,1,directed
Arthur Candy,Carter (Let's Kill Hitler),1,directed
Arthur Candy,Eleventh Doctor,1,directed
Arthur Candy,River Song,1,directed
Arthur Candy,Rory Williams,1,directed
Arthur Linwood,Carol Bell,1,directed
Arthur Linwood,Charles Kettering,1,directed
Arthur Linwood,George Patrick Barnham,1,directed
Arthur Linwood,Harry Mailer,1,directed
Arthur Linwood,Jo Grant,1,directed
Arthur Linwood,John Benton,1,directed
Arthur Linwood,Keller Machine,1,directed
Arthur Linwood,Mike Yates,1,directed
Arthur Linwood,Roland Summers,1,directed
Arthur Linwood,The Brigadier,1,directed
Arthur Linwood,The Master,1,directed
Arthur Linwood,Third Doctor,1,directed
Artie Maitland,Angie Maitland,2,directed
Artie Maitland,Clara Oswald,2,directed
Artie Maitland,Cyberman,1,directed
Artie Maitland,Eleventh Doctor,2,directed
Artie Maitland,Great Intelligence,1,directed
Artie Maitland,Mr Clever,1,directed
Artie Maitland,Rosemary Kizlet,1,directed
Ashad,George Gordon Byron,1,directed
Ashad,Graham O'Brien,2,directed
Ashad,John Polidori,1,directed
Ashad,Mary Shelley,1,directed
Ashad,Percy Shelley,1,directed
Ashad,Ryan Sinclair,2,directed
Ashad,The Master,1,directed
Ashad,Thirteenth Doctor,2,directed
Ashad,Yasmin Khan,2,directed
Ashildr,Clara Oswald,4,directed
Ashildr,Kenossium,1,directed
Ashildr,Leandro,1,directed
Ashildr,Mire,1,directed
Ashildr,Ohila,1,directed
Ashildr,Rassilon,1,directed
Ashildr,Rigsy,1,directed
Ashildr,Twelfth Doctor,4,directed
Astra of Atrios,Black Guardian,1,directed
Astra of Atrios,Drax,1,directed
Astra of Atrios,Fourth Doctor,1,directed
Astra of Atrios,K9 Mark II,1,directed
Astra of Atrios,Marshal of Atrios,1,directed
Astra of Atrios,Romana I,1,directed
Astra of Atrios,The Shadow,1,directed
Astrid Peth,Alonso Frame,1,directed
Astrid Peth,Copper (Voyage of the Damned),1,directed
Astrid Peth,Heavenly Host,1,directed
Astrid Peth,Max Capricorn,1,directed
Astrid Peth,Tenth Doctor,1,directed
Astrid Peth,Wilfred Mott,1,directed
Auton,Channing,1,directed
Auton,Liz Shaw,1,directed
Auton,Nestene Consciousness,1,directed
Auton,The Brigadier,1,directed
Auton,Third Doctor,1,directed
Axos,Carol Bell,1,directed
Axos,Jo Grant,1,directed
Axos,John Benton,1,directed
Axos,Mike Yates,1,directed
Axos,The Brigadier,1,directed
Axos,The Master,1,directed
Axos,Third Doctor,1,directed
Azal,Dæmon,1,directed
Azal,Jo Grant,1,directed
Azal,John Benton,1,directed
Azal,Mike Yates,1,directed
Azal,Olive Hawthorne,1,directed
Azal,The Brigadier,1,directed
Azal,The Master,1,directed
Azal,Third Doctor,1,directed
Azal,Tom Osgood,1,directed
Azaxyr,Aggedor (The Curse of Peladon),1,directed
Azaxyr,Alpha Centauri (The Curse of Peladon),1,directed
Azaxyr,Eckersley,1,directed
Azaxyr,Ettis,1,directed
Azaxyr,Ice Lord,1,directed
Azaxyr,Ice Warrior,1,directed
Azaxyr,Sarah Jane Smith,1,directed
Azaxyr,Third Doctor,1,directed
Azlok,Cassie Rice,1,directed
Azlok,Jimmy Stalkingwolf,1,directed
Azlok,Lord,1,directed
Azlok,Tenth Doctor,1,directed
Azmael,Mestor,1,directed
Azmael,Peri Brown,1,directed
Azmael,Sixth Doctor,1,directed
BOSS,Clifford Jones,1,directed
BOSS,Giant maggot,1,directed
BOSS,Jo Grant,1,directed
BOSS,John Benton,1,directed
BOSS,Mark Elgin,1,directed
BOSS,Mike Yates,1,directed
BOSS,Stevens,1,directed
BOSS,The Brigadier,1,directed
BOSS,Third Doctor,1,directed
Bad Wolf (entity),Dalek Emperor in the Last Great Time War,1,directed
Bad Wolf (entity),Jack Harkness,1,directed
Bad Wolf (entity),Jackie Tyler,1,directed
Bad Wolf (entity),Lynda Moss,1,directed
Bad Wolf (entity),Mickey Smith,1,directed
Bad Wolf (entity),Ninth Doctor,1,directed
Bad Wolf (entity),Rose Tyler,1,directed
Bad Wolf (entity),Tenth Doctor,1,directed
Baltazar,Martha Jones,1,directed
Baltazar,Tenth Doctor,1,directed
Bannermen,Gavrok,1,directed
Bannermen,Keillor,1,directed
Bannermen,Melanie Bush,1,directed
Bannermen,Seventh Doctor,1,directed
Barbara Wright,Animus,1,directed
Barbara Wright,Bennett (The Rescue),1,directed
Barbara Wright,Black Dalek Leader,1,directed
Barbara Wright,City Administrator (The Sensorites),1,directed
Barbara Wright,Commander (The Sensorites),1,directed
Barbara Wright,Dalek,1,directed
Barbara Wright,El Akir,1,directed
Barbara Wright,First Doctor,16,directed
Barbara Wright,Forester (Planet of Giants),1,directed
Barbara Wright,Ian Chesterton,16,directed
Barbara Wright,Kal,1,directed
Barbara Wright,Léon Colbert,1,directed
Barbara Wright,Marco Polo,1,directed
Barbara Wright,Maximilien Robespierre,1,directed
Barbara Wright,Mechonoid,1,directed
Barbara Wright,Morok,1,directed
Barbara Wright,Napoléon Bonaparte,1,directed
Barbara Wright,Nero,1,directed
Barbara Wright,Steven Taylor,1,directed
Barbara Wright,Supreme Controller (The Dalek Invasion of Earth),1,directed
Barbara Wright,Susan Foreman,10,directed
Barbara Wright,Tegana,1,directed
Barbara Wright,Tlotoxl,1,directed
Barbara Wright,Vicki Pallister,6,directed
Barbara Wright,Yartek,1,directed
Barnable,Amy Pond,1,directed
Barnable,Clara Oswald,1,directed
Barnable,Eleventh Doctor,1,directed
Barnable,Handles,1,directed
Barnable,Supreme Dalek (Victory of the Daleks),1,directed
Barnable,Tasha Lem,1,directed
Barnable,Twelfth Doctor,1,directed
Ben Jackson,Bragen,1,directed
Ben Jackson,Chameleon (humanoid),1,directed
Ben Jackson,Cherub (The Smugglers),1,directed
Ben Jackson,Cutler (The Tenth Planet),1,directed
Ben Jackson,CyberMondan,1,directed
Ben Jackson,CyberTelosian,1,directed
Ben Jackson,Dalek,1,directed
Ben Jackson,Dodo Chaplet,1,directed
Ben Jackson,Edwards (The Smugglers),1,directed
Ben Jackson,First Doctor,3,directed
Ben Jackson,Grey (The Highlanders),1,directed
Ben Jackson,Jamie McCrimmon,5,directed
Ben Jackson,Janley,1,directed
Ben Jackson,Macra,1,directed
Ben Jackson,Polly Wright,9,directed
Ben Jackson,Samuel Pike,1,directed
Ben Jackson,Second Doctor,7,directed
Ben Jackson,The Director (The Faceless Ones),1,directed
Ben Jackson,WOTAN,1,directed
Ben Jackson,Zaroff,1,directed
Bennett (The Rescue),Barbara Wright,1,directed
Bennett (The Rescue),First Doctor,1,directed
Bennett (The Rescue),Ian Chesterton,1,directed
Bennett (The Rescue),Vicki Pallister,1,directed
Bill Potts,Alpha Centauri (The Curse of Peladon),1,directed
Bill Potts,Archibald Hamish Lethbridge-Stewart,1,directed
Bill Potts,Clara Oswald,1,directed
Bill Potts,CyberMondan,1,directed
Bill Potts,Cybermen,1,directed
Bill Potts,Eater of Light,1,directed
Bill Potts,Emojibot,1,directed
Bill Potts,First Doctor,2,directed
Bill Potts,Ganymede Systems,1,directed
Bill Potts,Heather (The Pilot),2,directed
Bill Potts,Ice Warrior,1,directed
Bill Potts,John (Knock Knock),1,directed
Bill Potts,Monk (species),2,directed
Bill Potts,Nardole,11,directed
Bill Potts,Neville Catchlove,1,directed
Bill Potts,Ninth Legion,1,directed
Bill Potts,Rusty (Into the Dalek),1,directed
Bill Potts,Sentient oil,1,directed
Bill Potts,Sutcliffe (Thin Ice),1,directed
Bill Potts,The Master,7,directed
Bill Potts,Thirteenth Doctor,1,directed
Bill Potts,Twelfth Doctor,12,directed
Bill Potts,Vardy,1,directed
Bill Potts (Shadow World),Monk (species),1,directed
Bill Potts (Shadow World),Nardole,1,directed
Bill Potts (Shadow World),Nardole (Shadow World),1,directed
Bill Potts (Shadow World),The Master,1,directed
Bill Potts (Shadow World),Twelfth Doctor,1,directed
Bill Potts (Shadow World),Twelfth Doctor (Shadow World),1,directed
Billy Clanton,Dodo Chaplet,1,directed
Billy Clanton,First Doctor,1,directed
Billy Clanton,Ike Clanton,1,directed
Billy Clanton,Johnny Ringo,1,directed
Billy Clanton,Pa Clanton,1,directed
Billy Clanton,Phineas Clanton,1,directed
Billy Clanton,Seth Harper,1,directed
Billy Clanton,Steven Taylor,1,directed
Billy Clanton,Template:Disputed,1,directed
Black Dalek Leader,Ace,1,directed
Black Dalek Leader,Allison Williams,1,directed
Black Dalek Leader,Barbara Wright,1,directed
Black Dalek Leader,Bret Vyon,1,directed
Black Dalek Leader,Dalek,1,directed
Black Dalek Leader,Davros,2,directed
Black Dalek Leader,Fifth Doctor,1,directed
Black Dalek Leader,First Doctor,2,directed
Black Dalek Leader,Gustave Lytton,1,directed
Black Dalek Leader,Ian Chesterton,1,directed
Black Dalek Leader,Ian Gilmore,1,directed
Black Dalek Leader,Jeff Garvey,1,directed
Black Dalek Leader,Katarina,1,directed
Black Dalek Leader,Mavic Chen,1,directed
Black Dalek Leader,Mechonoid,1,directed
Black Dalek Leader,Rachel Jensen,1,directed
Black Dalek Leader,Sara Kingdom,1,directed
Black Dalek Leader,Seventh Doctor,1,directed
Black Dalek Leader,Steven Taylor,2,directed
Black Dalek Leader,Tegan Jovanka,1,directed
Black Dalek Leader,The Monk,1,directed
Black Dalek Leader,Vicki Pallister,1,directed
Black Dalek Leader,Vislor Turlough,1,directed
Black Guardian,Alistair Gordon Lethbridge-Stewart,1,directed
Black Guardian,Astra of Atrios,1,directed
Black Guardian,Drax,1,directed
Black Guardian,Eirak,1,directed
Black Guardian,Fifth Doctor,3,directed
Black Guardian,Fourth Doctor,1,directed
Black Guardian,K9 Mark II,1,directed
Black Guardian,Marshal of Atrios,1,directed
Black Guardian,Mawdryn,1,directed
Black Guardian,Nyssa,2,directed
